geo,year,theft,poverty,neet,education,unemployment,income,inequity
Greece,2021,551.92,30.22052856,18.36724704,47.19955344,9.18362352,45.73072476859174,5.79
Spain,2021,262.25,131.76837210000002,81.99974235,230.83164465000004,46.92470805000001,55.13870917727206,6.19
Finland,2021,2242.66,7.857986059999999,5.09108956,22.19050993,2.8775723600000003,63.44049782130628,3.58
France,2021,1786.35,129.57221952,90.43061154000002,339.45222093,33.742765500000004,61.4722390823712,4.41
Croatia,2021,255.8,8.435981949999999,6.01416895,14.40978735,1.8163597500000002,44.344940579059994,4.78
Hungary,2021,436.02,18.877697679999997,11.38500324,32.01423987999999,2.62730844,41.760956393336876,4.15
Ireland,2021,891.23,10.012648,4.90619752,30.889019079999997,2.1527193199999997,65.92278269330617,3.83
Italy,2021,1183.42,149.27525676000002,136.83565203,167.63848279,31.395192889999997,56.93386877838087,5.86
Lithuania,2021,276.71,6.5698479999999995,3.5505136,16.075159999999997,1.39784,46.755849396865294,6.14
Luxembourg,2021,1717.58,1.3392803,0.5585624,3.9734097999999998,0.22215550000000003,74.90350463869042,4.59
Latvia,2021,417.28,4.941312030000001,2.29079983,8.614164650000001,0.9655437299999999,46.25201831158223,6.63
Malta,2021,867.66,1.047683,0.490295,2.193425,0.11870299999999999,56.07649787733531,5.03
Netherlands,2021,1052.96,29.0091889,6.81541185,97.16330740000001,5.41737865,65.32050891217153,3.88
Poland,2021,287.32,63.79432416,50.88356808,154.16961672,7.97429052,44.6512799656113,4.03
Portugal,2021,621.02,23.06808448,9.783339400000001,48.916697,4.531230880000001,48.95316495872467,5.66
Romania,2021,471.44,66.24573389999999,38.97937386,44.73987246,6.14453184,37.80930477448478,7.14
Sweden,2021,2784.26,17.852387399999998,6.227576999999999,51.169924349999995,6.7465417500000004,63.71127771966041,4.04
Slovenia,2021,634.76,2.7838496400000006,1.53955321,10.10199983,0.65378287,54.22250328257175,3.24
Slovakia,2021,179.48,8.51725836,7.752889019999999,21.566134950000002,2.4569014499999997,45.396386180220006,3.2
