freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS0301,P_HTHAB,SE	170.56 	155.83 	175.33 	156.32 	179.48 	188.83 	190.43 	195.11 	204.73 	217.72 
A,ICCS0301,P_HTHAB,SI	17.85 	18.36 	14.36 	12.51 	17.25 	20.67 	17.51 	22.54 	17.99 	21.20 
A,ICCS0301,P_HTHAB,SK	: 	11.92 	12.61 	11.90 	12.09 	12.97 	12.25 	12.81 	11.38 	10.82 
A,ICCS0301,P_HTHAB,UKC-L	69.06 	82.57 	137.79 	184.81 	210.19 	258.05 	274.81 	: 	: 	: 
A,ICCS0301,P_HTHAB,UKM	126.91 	152.52 	160.26 	173.76 	186.92 	214.75 	233.68 	: 	: 	: 
A,ICCS0301,P_HTHAB,UKN	102.20 	117.87 	140.53 	157.62 	171.35 	179.79 	193.02 	: 	: 	: 
A,ICCS0301,P_HTHAB,XK	: 	: 	: 	: 	5.59 	24.73 	20.18 	8.52 	: 	: 
A,ICCS03011,P_HTHAB,AL	: 	: 	1.41 	2.46 	1.53 	1.49 	1.46 	2.69 	2.28 	2.30 
A,ICCS03011,P_HTHAB,AT	14.94 	15.32 	13.68 	13.18 	14.17 	17.01 	18.88 	18.92 	18.92 	20.61 
A,ICCS03011,P_HTHAB,BA	1.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS03011,P_HTHAB,BE	30.69 	29.97 	28.51 	28.75 	30.44 	32.83 	33.93 	35.61 	32.44 	35.07 
